species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match
Isoetes inflata E.R.L.Johnson,Isoetes inflata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes muelleri A.Braun,Isoetes muelleri,native,native,native,not present,native,native,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Isoetes tripus A.Braun,Isoetes tripus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Huperzia phlegmarioides (Gaudich.) Rothm.,Huperzia phlegmarioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Lycopodiella limosa Chinnock,Lycopodiella limosa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Phlegmariurus creber (Alderw.) A.R.Field & Bostock,Phlegmariurus creber,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,Phlegmariurus delbrueckii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Selaginella alutacia Spring,Selaginella alutacia,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Selaginella longiciliata Hieron.,Selaginella longiciliata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinotus paddisonii R.T.Baker,Actinotus paddisonii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinotus periculosus Henwood,Actinotus periculosus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinotus repens Keighery ex Henwood,Actinotus repens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinotus superbus O.H.Sarg.,Actinotus superbus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Actinotus whicheranus Keighery,Actinotus whicheranus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Azorella selago Hook.f.,Azorella selago,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,No
Centella uniflora (Colenso) Nannf.,Centella uniflora,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Gingidia algens (F.Muell.) J.W.Dawson,Gingidia algens,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Gingidia harveyana (F.Muell.) J.W.Dawson,Gingidia harveyana,not present,not present,not present,not present,native,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace arnhemica Specht,Platysace arnhemica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace cirrosa Bunge,Platysace cirrosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace effusa (Turcz.) C.Norman,Platysace effusa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace haplosciadia (Benth.) C.Norman,Platysace haplosciadia,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace ramosissima (Benth.) C.Norman,Platysace ramosissima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace saxatilis Keighery,Platysace saxatilis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Platysace xerophila (E.Pritz.) L.A.S.Johnson,Platysace xerophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Xanthosia collina Keighery,Xanthosia collina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Xanthosia kochii (E.Pritz.) J.M.Hart & Henwood,Xanthosia kochii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Xanthosia peduncularis Benth.,Xanthosia peduncularis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha biddulphiana F.Muell.,Astrotricha biddulphiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha crassifolia Blakely,Astrotricha crassifolia,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha obovata Makinson,Astrotricha obovata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Astrotricha roddii Makinson,Astrotricha roddii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,not present,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle decorata A.J.Perkins,Hydrocotyle decorata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle grammatocarpa F.Muell.,Hydrocotyle grammatocarpa,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle lemnoides Benth.,Hydrocotyle lemnoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle pilifera Turcz.,Hydrocotyle pilifera,not present,not present,native,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Motherwellia haplosciadea F.Muell.,Motherwellia haplosciadea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Polyscias cissodendron (C.Moore & F.Muell.) Harms,Polyscias cissodendron,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,No
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Polyscias spectabilis (Harms) Lowry & G.M.Plunkett,Polyscias spectabilis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Schefflera bractescens Ridl.,Schefflera bractescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa,native,not present,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene didiscoides (F.Muell.) B.L.Burtt,Trachymene didiscoides,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene gilleniae (Tate) B.L.Burtt,Trachymene gilleniae,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene inflata Maconochie,Trachymene inflata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene longipedunculata Maconochie,Trachymene longipedunculata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene microcephala (Domin) B.L.Burtt,Trachymene microcephala,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene montana A.E.Holland,Trachymene montana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene pyrophila Rye,Trachymene pyrophila,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene rotundifolia (Benth.) Maconochie,Trachymene rotundifolia,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene scapigera (Domin) B.L.Burtt,Trachymene scapigera,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
Trachymene thysanocarpa J.M.Hart,Trachymene thysanocarpa,not present,native,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No
