nameType,acceptedNameUsage,taxonomicStatus,scientificName,canonicalName,taxonRank
scientific,Macrozamia fearnsidei D.L.Jones,accepted,Macrozamia fearnsidei D.L.Jones,Macrozamia fearnsidei,Species
hybrid formula parents known,Macrozamia fearnsidei D.L.Jones x Macrozamia moorei F.Muell.,accepted,Macrozamia fearnsidei D.L.Jones x Macrozamia moorei F.Muell.,Macrozamia fearnsidei x Macrozamia moorei,Species
scientific,Macrozamia flexuosa C.Moore,accepted,Macrozamia flexuosa C.Moore,Macrozamia flexuosa,Species
scientific,Macrozamia fraseri Miq.,accepted,Macrozamia fraseri Miq.,Macrozamia fraseri,Species
scientific,Macrozamia glaucophylla D.L.Jones,accepted,Macrozamia glaucophylla D.L.Jones,Macrozamia glaucophylla,Species
scientific,Macrozamia heteromera C.Moore,accepted,Macrozamia heteromera C.Moore,Macrozamia heteromera,Species
scientific,Macrozamia humilis D.L.Jones,accepted,Macrozamia humilis D.L.Jones,Macrozamia humilis,Species
scientific,Macrozamia johnsonii D.L.Jones & K.D.Hill,accepted,Macrozamia johnsonii D.L.Jones & K.D.Hill,Macrozamia johnsonii,Species
scientific,Macrozamia lomandroides D.L.Jones,accepted,Macrozamia lomandroides D.L.Jones,Macrozamia lomandroides,Species
hybrid formula parents known,Macrozamia lomandroides D.L.Jones x Macrozamia pauli-guilielmi W.Hill & F.Muell.,accepted,Macrozamia lomandroides D.L.Jones x Macrozamia pauli-guilielmi W.Hill & F.Muell.,Macrozamia lomandroides x Macrozamia pauli-guilielmi,Species
scientific,Macrozamia longispina P.I.Forst. & D.L.Jones,accepted,Macrozamia longispina P.I.Forst. & D.L.Jones,Macrozamia longispina,Species
scientific,Macrozamia lucida L.A.S.Johnson,accepted,Macrozamia lucida L.A.S.Johnson,Macrozamia lucida,Species
scientific,Macrozamia macdonnellii (F.Muell. ex Miq.) F.Muell. ex A.DC.,accepted,Macrozamia macdonnellii (F.Muell. ex Miq.) F.Muell. ex A.DC.,Macrozamia macdonnellii,Species
scientific,Macrozamia machinii P.I.Forst. & D.L.Jones,accepted,Macrozamia machinii P.I.Forst. & D.L.Jones,Macrozamia machinii,Species
scientific,Macrozamia macleayi Miq.,accepted,Macrozamia macleayi Miq.,Macrozamia macleayi,Species
scientific,Macrozamia miquelii (F.Muell.) A.DC.,accepted,Macrozamia miquelii (F.Muell.) A.DC.,Macrozamia miquelii,Species
scientific,Macrozamia montana K.D.Hill,accepted,Macrozamia montana K.D.Hill,Macrozamia montana,Species
scientific,Macrozamia moorei F.Muell.,accepted,Macrozamia moorei F.Muell.,Macrozamia moorei,Species
scientific,Macrozamia mountperriensis F.M.Bailey,accepted,Macrozamia mountperriensis F.M.Bailey,Macrozamia mountperriensis,Species
scientific,Macrozamia occidua D.L.Jones & P.I.Forst.,accepted,Macrozamia occidua D.L.Jones & P.I.Forst.,Macrozamia occidua,Species
scientific,Macrozamia parcifolia P.I.Forst. & D.L.Jones,accepted,Macrozamia parcifolia P.I.Forst. & D.L.Jones,Macrozamia parcifolia,Species
scientific,Macrozamia pauli-guilielmi W.Hill & F.Muell.,accepted,Macrozamia pauli-guilielmi W.Hill & F.Muell.,Macrozamia pauli-guilielmi,Species
scientific,Macrozamia platyrhachis F.M.Bailey,accepted,Macrozamia platyrhachis F.M.Bailey,Macrozamia platyrhachis,Species
scientific,Macrozamia plurinervia (L.A.S.Johnson) D.L.Jones,accepted,Macrozamia plurinervia (L.A.S.Johnson) D.L.Jones,Macrozamia plurinervia,Species
scientific,Macrozamia polymorpha D.L.Jones,accepted,Macrozamia polymorpha D.L.Jones,Macrozamia polymorpha,Species
scientific,Macrozamia reducta K.D.Hill & D.L.Jones,accepted,Macrozamia reducta K.D.Hill & D.L.Jones,Macrozamia reducta,Species
scientific,Macrozamia riedlei (Fisch. ex Gaudich.) C.A.Gardner,accepted,Macrozamia riedlei (Fisch. ex Gaudich.) C.A.Gardner,Macrozamia riedlei,Species
scientific,Macrozamia secunda (Benth.) C.Moore,accepted,Macrozamia secunda (Benth.) C.Moore,Macrozamia secunda,Species
scientific,Macrozamia serpentina D.L.Jones & P.I.Forst.,accepted,Macrozamia serpentina D.L.Jones & P.I.Forst.,Macrozamia serpentina,Species
