species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match,Match2,Match3,Match4,Match5
Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Phlegmariurus creber (Alderw.) A.R.Field & Bostock,Phlegmariurus creber,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,Phlegmariurus delbrueckii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Selaginella alutacia Spring,Selaginella alutacia,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Selaginella longiciliata Hieron.,Selaginella longiciliata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Actinotus paddisonii R.T.Baker,Actinotus paddisonii,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Actinotus periculosus Henwood,Actinotus periculosus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Actinotus repens Keighery ex Henwood,Actinotus repens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Azorella selago Hook.f.,Azorella selago,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,No,No,No,No,No
Centella uniflora (Colenso) Nannf.,Centella uniflora,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
