species,canonicalName,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Match,Match2,Match3,Match4,Match5
Amphibromus pithogastrus S.W.L.Jacobs & Lapinpuro,Amphibromus pithogastrus,not present,not present,not present,not present,native,native,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Amphibromus sinuatus S.W.L.Jacobs & Lapinpuro,Amphibromus sinuatus,not present,not present,not present,not present,native,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Amphibromus vickeryae S.W.L.Jacobs & Lapinpuro,Amphibromus vickeryae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Amphibromus whitei C.E.Hubb.,Amphibromus whitei,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Anthosachne fertilis (S.Wang ex S.W.L.Jacobs & Barkworth) Barkworth & S.W.L.Jacobs,Anthosachne fertilis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Anthosachne rectiseta (Nees) Barkworth & S.W.L.Jacobs,Anthosachne rectiseta,not present,not present,native,not present,native,native,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Apluda mutica L.,Apluda mutica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,No,No,No,No,No
Aristida annua B.K.Simon,Aristida annua,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida arida B.K.Simon,Aristida arida,native,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida australis B.K.Simon,Aristida australis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida biglandulosa J.M.Black,Aristida biglandulosa,native,native,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida blakei B.K.Simon,Aristida blakei,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida burbidgeae B.K.Simon,Aristida burbidgeae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida burraensis B.K.Simon,Aristida burraensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida dominii B.K.Simon,Aristida dominii,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida echinata Henrard,Aristida echinata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida exserta S.T.Blake,Aristida exserta,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida forsteri B.K.Simon,Aristida forsteri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida gracilipes (Domin) Henrard,Aristida gracilipes,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida granitica B.K.Simon,Aristida granitica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida helicophylla S.T.Blake,Aristida helicophylla,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida ingrata Domin,Aristida ingrata,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida jacobsiana B.K.Simon & Cowie,Aristida jacobsiana,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida kimberleyensis B.K.Simon,Aristida kimberleyensis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida latzii B.K.Simon,Aristida latzii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida lazaridis B.K.Simon,Aristida lazaridis,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida leichhardtiana Domin,Aristida leichhardtiana,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida longicollis (Domin) Henrard,Aristida longicollis,native,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida macroclada Henrard,Aristida macroclada,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida muricata Henrard,Aristida muricata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida obscura Henrard,Aristida obscura,native,native,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida perniciosa Domin,Aristida perniciosa,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida polyclados Domin,Aristida polyclados,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida psammophila Henrard,Aristida psammophila,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida schultzii Mez,Aristida schultzii,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida sciuroides Domin,Aristida sciuroides,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida strigosa (Henrard) S.T.Blake ex J.M.Black,Aristida strigosa,native,native,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida thompsonii B.K.Simon,Aristida thompsonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida utilis F.M.Bailey,Aristida utilis,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Aristida vickeryae B.K.Simon,Aristida vickeryae,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arthragrostis aristispicula B.K.Simon,Arthragrostis aristispicula,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arthragrostis brassiana B.K.Simon,Arthragrostis brassiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arthragrostis clarksoniana B.K.Simon,Arthragrostis clarksoniana,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arthragrostis deschampsioides (Domin) Lazarides,Arthragrostis deschampsioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arthraxon castratus (Griff.) V.Naray. ex Bor,Arthraxon castratus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Arundinella montana S.T.Blake,Arundinella montana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Australopyrum retrofractum (Vickery) Á.Löve,Australopyrum retrofractum,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrochloris dichanthioides (Everist) Lazarides,Austrochloris dichanthioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa aquarii (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa aquarii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa blakei (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa blakei,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa bronweniae A.R.Williams,Austrostipa bronweniae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa centralis (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa centralis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa crinita (Gaudich.) S.W.L.Jacobs & J.Everett,Austrostipa crinita,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa curticoma (Vickery) S.W.L.Jacobs & J.Everett,Austrostipa curticoma,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa dongicola (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa dongicola,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa echinata (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa echinata,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa feresetacea (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa feresetacea,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa geoffreyi S.W.L.Jacobs & J.Everett,Austrostipa geoffreyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa jacobsiana A.R.Williams,Austrostipa jacobsiana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa lanata (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa lanata,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa metatoris (J.Everett & S.W.L.Jacobs) S.W.L.Jacobs & J.Everett,Austrostipa metatoris,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa multispiculis (J.M.Black) S.W.L.Jacobs & J.Everett,Austrostipa multispiculis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa nullanulla (J.Everett & S.W.L.Jacobs) S.W.L.Jacobs & J.Everett,Austrostipa nullanulla,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa nullarborensis (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa nullarborensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa petraea (Vickery) S.W.L.Jacobs & J.Everett,Austrostipa petraea,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa pilata (S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett,Austrostipa pilata,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa plumigera (Hughes) S.W.L.Jacobs & J.Everett,Austrostipa plumigera,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa pycnostachya (Benth.) S.W.L.Jacobs & J.Everett,Austrostipa pycnostachya,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa tuckeri (F.Muell.) S.W.L.Jacobs & J.Everett,Austrostipa tuckeri,not present,not present,native,not present,native,native,presumed extinct,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa velutina (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa velutina,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Austrostipa vickeryana (J.Everett & S.W.L.Jacobs) S.W.L.Jacobs & J.Everett,Austrostipa vickeryana,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
"Austrostipa wakoolica (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Austrostipa wakoolica,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Bothriochloa bunyensis B.K.Simon,Bothriochloa bunyensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Calyptochloa cylindrosperma E.J.Thomps. & B.K.Simon,Calyptochloa cylindrosperma,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Calyptochloa johnsoniana E.J.Thomps. & B.K.Simon,Calyptochloa johnsoniana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cenchrus elymoides F.Muell.,Cenchrus elymoides,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Centotheca philippinensis (Merr.) C.Monod,Centotheca philippinensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chamaeraphis hordeacea R.Br.,Chamaeraphis hordeacea,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chionachne hubbardiana Henrard,Chionachne hubbardiana,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chionochloa howensis S.W.L.Jacobs,Chionochloa howensis,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chloris pumilio R.Br.,Chloris pumilio,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chrysopogon latifolius S.T.Blake,Chrysopogon latifolius,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Chrysopogon rigidus (B.K.Simon) Veldkamp,Chrysopogon rigidus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Clausospicula extensa Lazarides,Clausospicula extensa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cleistochloa sclerachne (F.M.Bailey) C.E.Hubb.,Cleistochloa sclerachne,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Coix gasteenii B.K.Simon,Coix gasteenii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cymbopogon dependens B.K.Simon,Cymbopogon dependens,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cymbopogon globosus Henrard,Cymbopogon globosus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cymbopogon gratus Domin,Cymbopogon gratus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cymbopogon martinii (Roxb.) W.Watson,Cymbopogon martinii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
x Cynochloris macivorii Clifford & Everist,x Cynochloris macivorii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
x Cynochloris reynoldensis B.K.Simon,x Cynochloris reynoldensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cynodon convergens F.Muell.,Cynodon convergens,native,native,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cynodon prostratus (C.A.Gardner & C.E.Hubb.) P.M.Peterson,Cynodon prostratus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cynodon simonii P.M.Peterson,Cynodon simonii,native,native,not present,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cynodon tenellus R.Br.,Cynodon tenellus,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cyperochloa hirsuta Lazarides & L.Watson,Cyperochloa hirsuta,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cyrtococcum accrescens (Trin.) Stapf,Cyrtococcum accrescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cyrtococcum capitis-york B.K.Simon,Cyrtococcum capitis-york,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Cyrtococcum patens (L.) A.Camus,Cyrtococcum patens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dactyloctenium buchananensis B.K.Simon,Dactyloctenium buchananensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dallwatsonia felliana B.K.Simon,Dallwatsonia felliana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deschampsia antarctica É.Desv.,Deschampsia antarctica,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,No,No,No,No,No
Deschampsia gracillima Kirk,Deschampsia gracillima,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia acuminata Vickery,Deyeuxia acuminata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia affinis M.Gray,Deyeuxia affinis,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia angustifolia Vickery,Deyeuxia angustifolia,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia appressa Vickery,Deyeuxia appressa,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia apsleyensis D.I.Morris,Deyeuxia apsleyensis,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia boormanii (Vickery) N.G.Walsh,Deyeuxia boormanii,not present,not present,not present,not present,native,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia brachyathera (Stapf) Vickery,Deyeuxia brachyathera,not present,not present,not present,not present,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia breviglumis Benth.,Deyeuxia breviglumis,not present,not present,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia contracta (F.Muell. ex Hook.f.) Vickery,Deyeuxia contracta,not present,not present,not present,not present,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia decipiens (R.Br.) Vickery,Deyeuxia decipiens,not present,native,not present,not present,native,not present,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia densa Benth.,Deyeuxia densa,not present,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia frigida F.Muell. ex Benth.,Deyeuxia frigida,not present,not present,not present,not present,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia imbricata Vickery,Deyeuxia imbricata,not present,native,not present,not present,native,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia inaequalis Vickery,Deyeuxia inaequalis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia innominata D.I.Morris,Deyeuxia innominata,not present,not present,not present,not present,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia mckiei Vickery,Deyeuxia mckiei,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia mesathera Stapf ex Vickery,Deyeuxia mesathera,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia microseta Vickery,Deyeuxia microseta,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia minor Benth.,Deyeuxia minor,not present,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia nudiflora Vickery,Deyeuxia nudiflora,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia parviseta Vickery,Deyeuxia parviseta,not present,native,not present,not present,native,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia pungens N.G.Walsh,Deyeuxia pungens,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia ramosa C.M.Weiller & N.G.Walsh,Deyeuxia ramosa,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia reflexa Vickery,Deyeuxia reflexa,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia rodwayi Vickery,Deyeuxia rodwayi,not present,native,not present,not present,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia scaberula Vickery,Deyeuxia scaberula,not present,not present,not present,not present,native,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia talariata N.G.Walsh,Deyeuxia talariata,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Deyeuxia valida (Vickery) C.M.Weiller,Deyeuxia valida,not present,not present,not present,not present,native,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dichanthium tenue (R.Br.) A.Camus,Dichanthium tenue,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dichelachne hirtella N.G.Walsh,Dichelachne hirtella,not present,not present,not present,not present,native,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dichelachne parva B.K.Simon,Dichelachne parva,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Dichelachne robusta B.K.Simon,Dichelachne robusta,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria baileyi (Benth.) Hughes,Digitaria baileyi,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria basaltica B.K.Simon,Digitaria basaltica,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria benthamiana Henrard,Digitaria benthamiana,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria bicornis (Lam.) Roem. & Schult.,Digitaria bicornis,naturalised,naturalised,native,not present,not present,not present,not present,not present,formerly naturalised,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria blakei Henrard,Digitaria blakei,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria cowiei B.K.Simon,Digitaria cowiei,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
Digitaria ctenantha (F.Muell.) Hughes,Digitaria ctenantha,native,native,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,No,No,No,No,No
Digitaria diminuta Hughes,Digitaria diminuta,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,No,No,No,No,No
