species,Match
Melicope peninsularis,Yes
Memecylon hylandii,Yes
Miliusa horsfieldii,Yes
Mischarytera megaphylla,Yes
Mitrella tiwiensis,Yes
Monoon australe,Yes
Monoon patinatum,Yes
Motherwellia haplosciadea,Yes
Mucuna diabolica,Yes
Musgravea stenostachya,Yes
Myristica lancifolia,Yes
Myrsine maculata,Yes
Myrsine rubiginosa,Yes
Myrsine serpenticola,Yes
Myrsine smithii,Yes
Neosepicaea viticoides,Yes
Olax imbricata,Yes
Olax pendula,Yes
Oldenlandia biflora,Yes
Omphalea papuana,Yes
Oplismenus burmanni,Yes
Oplismenus mollis,Yes
Palmeria coriacea,Yes
Panicum chillagoanum,Yes
Panicum incomtum,Yes
Panicum mindanaense,Yes
Parsonsia alboflavescens,Yes
Parsonsia ferruginea,Yes
Passiflora aurantioides,Yes
Pavetta kimberleyana,Yes
Pavetta muelleri,Yes
Pavonia calycina,Yes
Phaleria biflora,Yes
Phyllanthus praelongipes,Yes
Pimelea chlorina,Yes
Pimelodendron amboinicum,Yes
Planchonella asterocarpon,Yes
Planchonella xylocarpa,Yes
Planchonia rupestris,Yes
Pleioluma papyracea,Yes
Pleioluma singuliflora,Yes
Polyosma reducta,Yes
Pseuduvaria hylandii,Yes
Psychotria hebecarpa,Yes
Psydrax graciliflora,Yes
Psydrax johnsonii,Yes
Psydrax montigena,Yes
Pternandra coerulescens,Yes
Pupalia micrantha,Yes
Rhaphidospora platyphylla,Yes
Rhodamnia hylandii,Yes
Rhynchospora leae,Yes
Rhysotoechia florulenta,Yes
Ristantia waterhousei,Yes
Ryticaryum longifolium,Yes
Salacia erythrocarpa,Yes
Sarcolobus hullsii,Yes
Sarcopteryx acuminata,Yes
Schoutenia ovata,Yes
Scleria ciliaris,Yes
Scleria lingulata,Yes
Scleria lithosperma,Yes
Scleria polycarpa,Yes
Scleria terrestris,Yes
Scrotochloa tararaensis,Yes
Scrotochloa urceolata,Yes
Secamone lineata,Yes
Secamone timorensis,Yes
Senna timoriensis,Yes
Sersalisia unmackiana,Yes
Setaria oplismenoides,Yes
Sicyos undara,Yes
Smilax kaniensis,Yes
Solanum dimorphispinum,Yes
Solanum discolor,Yes
Solanum dunalianum,Yes
Solanum eminens,Yes
Solanum fervens,Yes
Solanum francisii,Yes
Solanum intonsum,Yes
Solanum sporadotrichum,Yes
Solanum tetrandrum,Yes
Spermacoce membranacea,Yes
Sphaerantia chartacea,Yes
Sphenostemon lobosporus,Yes
Steganthera cooperorum,Yes
Stemona australiana,Yes
Stenocarpus verticis,Yes
Sterculia holtzei,Yes
Stigmaphyllon australiense,Yes
Streblus glaber,Yes
Suregada glomerulata,Yes
Symplocos ampulliformis,Yes
Symplocos bullata,Yes
Symplocos graniticola,Yes
Symplocos hylandii,Yes
Symplocos oresbia,Yes
Synima reynoldsiae,Yes
Syzygium argyropedicum,Yes
Syzygium armstrongii,Yes
Syzygium dansiei,Yes
Syzygium fratris,Yes
Syzygium mackinnonianum,Yes
Syzygium minutuliflorum,Yes
Syzygium monimioides,Yes
Syzygium nervosum,Yes
Syzygium velarum,Yes
Syzygium xerampelinum,Yes
Tarenna monticola,Yes
Tarenna pentamera,Yes
Tarennoidea wallichii,Yes
Tephrosia oblongata,Yes
Terminalia volucris,Yes
Tetrastigma pisicarpum,Yes
Thismia hawkesii,Yes
Thismia lanternata,Yes
Thismia tectipora,Yes
Thismia yorkensis,Yes
Tribulopis solandri,Yes
Trichosanthes morrisii,Yes
Triflorensia australis,Yes
Triodia procera,Yes
Tristiropsis acutangula,Yes
Typhonium alismifolium,Yes
Typhonium peltandroides,Yes
Uncaria callophylla,Yes
Urochloa reptans,Yes
Uvaria glabra,Yes
Uvaria micrantha,Yes
Uvaria rupestre,Yes
Uvaria scabridula,Yes
Uvaria topazensis,Yes
Uvaria unguiculata,Yes
Vittadinia scabra,Yes
Wendlandia connata,Yes
Wendlandia urceolata,Yes
Wilkiea hylandii,Yes
Wilkiea kaarruana,Yes
Wilkiea smithii,Yes
Wrightia versicolor,Yes
Xanthostemon crenulatus,Yes
Xylosma ovata,Yes
Zieria insularis,Yes
Ziziphus quadrilocularis,Yes
Ziziphus timoriensis,Yes
