Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Carmichaelia_juncea,na,na,species,,,,,,,Synonym,Carmichaelia_prona,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Carpacoce_gigantea,na,na,species,Rubiaceae,VU,CPP,S,Cham._or_nanophan.,WP,Rediscovered,Carpacoce_gigantea,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://redlist.sanbi.org/species.php?species=1468-3
Carpoxylon_macrospermum,na,na,species,Arecaceae,CR,VAN,WT,Phan.,WP,Rediscovered,Carpoxylon_macrospermum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://www.iucnredlist.org/details/38465/0
Casearia_sessiliflora,na,na,species,Salicaceae,EW,BZL,WT,Nanophan.,WP,Extinct,Casearia_sessiliflora,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Casearia_tinifolia,na,na,species,Salicaceae,EW,MAU,WT,Phan.,WP,Extinct,Casearia_tinifolia,"Cadet, T. (1984). Liste et commentaires sur les plantes en danger des Mascareignes. Paris.",
Cassine_attenuata,na,na,species,,,,,,,Synonym,Quiina_ternatiflora,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cassine_xylocarpa,na,na,species,,,,,,,Synonym,Ilex_ternatiflora,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cassipourea_lanceolata,na,na,species,,,,,,,Synonym,Cassipourea_thomassetii,"Melville, R. (1970). Endangered plants and conservation in the islands of the Indian Ocean. Papers and proceedings of the IUCN 11: 103-107.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cassytha_pedicellosa,na,na,species,Lauraceae,CR,TAS,S,Cl._nanophan.,WP,Rediscovered,Cassytha_pedicellosa,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://www.flickr.com/photos/nuytsia_pix/5027308391/
Castilleja_chrymactis,na,na,species,,,,,,,Synonym,Castilleja_leschkeana,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Castilleja_guadalupensis,na,na,species,Scrophulariaceae,EX,MXI,DT,Hemipar._cham.,WP,Extinct,Castilleja_guadalupensis,"Moran, R. (1996). The flora of Guadalupe island, Mexico. Memoirs of the California Academy of Sciences 19: 1-190.",
Castilleja_ludoviciana,na,na,species,Scrophulariaceae,EX,LOU,G,Hemipar._hemicr.,HP,Extinct,Castilleja_ludoviciana,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",
Castilleja_nervata,na,na,species,,,,,,,Synonym,Castilleja_cruenta,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cathedra_grandiflora,na,na,species,Olacaceae,EX,BZL,T,Phan.,WP,Extinct,Cathedra_grandiflora,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Caulanthus_coulteri,var,lemmonii,var,,,,,,,Synonym,Caulanthus_lemmonii,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Centaurea_armoracifolia,na,na,species,Asteraceae,EX,GRC,S,hemicr.,HP,Extinct,Centaurea_armoracifolia,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Centaurea_leucophaea,subsp,biformis,subsp,,,,,,,Synonym,Centaurea_biformis,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Centaurea_psephelloides,na,na,species,Asteraceae,CR,TUR,G,Hemicr.,WP,Rediscovered,Centaurea_psephelloides,"Ekim, T. & al. (1989). Türkiye'nin tehlike altindakinadir ve endemik bitki turleri: 1-227. Ankara.","Kandemir, A. (2009). The rediscovery of some taxa thought to have been extinct in Turkey. Turkish Journal of Botany 33: 113-122."
Centaurea_saxatilis,na,na,species,Asteraceae,EX,KRI,S,Hemicr.,WP,Extinct,Centaurea_saxatilis,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Centaurea_tuntasia,na,na,species,Asteraceae,EX,GRC,G,Hemicr.,WP,Extinct,Centaurea_tuntasia,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Centaurium_exalatum,na,na,species,,,,,,,Synonym,Centaurium_namophilum,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Centrolepis_caespitosa,na,na,species,Restionaceae,EN,WAU,DT,ther.,A,Rediscovered,Centrolepis_caespitosa,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2912795
Centrosema_macrocarpum,na,na,species,,,,,,,Synonym,Centrosema_seymourianum,"Frantz, P.R. (1979). A new species of Centrosema (Leguminosae) from Nicaragua and a key to the species in Central America. Sida 8: 152-162.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cephalaria_kesruanica,na,na,species,Caprifoliaceae,EX,LBS,S,Hemicr.,WP,Extinct,Cephalaria_kesruanica,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Cephalophyllum_parvulum,na,na,species,Aizoaceae,EX,CPP,DT,hemicr.,HP,Extinct,Cephalophyllum_parvulum,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Ceratophyllum_muricatum,subsp,australe,subsp,,,,,,,Synonym,Ceratophyllum_floridanum,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Ceropegia_antennifera,na,na,species,Apocynaceae,EX,NAT,S,cl._phan.,WP,Extinct,Ceropegia_antennifera,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Ceropegia_maculata,na,na,species,Apocynaceae,CR,"IND,SRL",T,cl._phan.,WP,Rediscovered,Ceropegia_maculata,"Nayar, M.P. & Sastry, A.R.K. (eds.) (1988). Red data book of Indian plants 2: 1-268. Calcutta.","Jagtap, A.P. & Singh, N.P. (1999). Fascicles of Flora of India 24: 1-332. Botanical Survey of India, New Delhi."
Cestrum_hortulanum,na,na,species,,,,,,,Synonym,Cestrum_hortulanum,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Chamaedorea_pumila,na,na,species,,,,,,,Synonym,Chamaedorea_minima,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Chamaedorea_seifrizii,na,na,species,,,,,,,Synonym,Chamaedorea_donnell-smithii,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Charpentiera_densiflora,na,na,species,Amaranthaceae,CR,HAW,WT,phan.,WP,Rediscovered,Charpentiera_densiflora,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/details/30772/0
Chassalia_grandifolia,na,na,species,Rubiaceae,EW,MAU,WT,phan.,WP,Extinct,Chassalia_grandifolia,"Bosser, J. & al. (eds.) (1976-). Flore des Mascareignes. IRD Éditions, MSIRI, RBG-Kew, Paris.",
Cheilophyllum_jamaicense,na,na,species,Scrophulariaceae,EW,JAM,WT,Ther.,A,Extinct,Cheilophyllum_jamaicense,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Chenopodium_helenense,na,na,species,Amaranthaceae,VU,STH,WT,Ther.,A,Rediscovered,Chenopodium_helenense,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","Cronk, Q.C.B. (2000). The endemic flora of St Helene: 1-119. Antony Nelson, Oswestry, England."
Chenopodium_nesodendron,na,na,species,Amaranthaceae,EW,JNF,S,Nanophan._or_phan.,WP,Extinct,Chenopodium_nesodendron,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Chloraea_venosa,na,na,species,Orchidaceae,EW,PER,WT,hemicr.,HP,Extinct,Chloraea_venosa,"Brako, L. & Zarucchi, J.L. (1993). Catalogue of the Flowering Plants and Gymnosperms of Peru. Monographs in Systematic Botany from the Missouri Botanical Garden 45: i-xl, 1-1286.",
Chlorospatha_kressii,na,na,species,Araceae,EX,CLM,WT,geophyte,HP,Extinct,Chlorospatha_kressii,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Chordifex_chaunocoleus,na,na,species,,,,,,,Synonym,Restio_chaunocoleus,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Choristemon_humilis,na,na,species,Ericaceae,EX,VIC,S,phan._,WP,Extinct,Choristemon_humilis,"Briggs, J. & Leigh, J. (1988). Rare or threatened Australian plants , rev. ed.: 1-277.",
Chorizanthe_valida,na,na,species,Polygonaceae,CR,CAL,S,ther.,A,Rediscovered,Chorizanthe_valida,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=2059
Chorizema_varium,na,na,species,Fabaceae,EN,WAU,DT,Nanophan.,WP,Rediscovered,Chorizema_varium,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/8713255
Christiana_vescoana,na,na,species,Malvaceae,EW,SCI,WT,Phan.,WP,Extinct,Christiana_vescoana,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Chrysophyllum_januariense,na,na,species,Sapotaceae,VU,BZL,WT,Phan.,WP,Rediscovered,Chrysophyllum_januariense,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Giulietti & al. (2009). Plantas raras do Brasil: 1-496. Conservação International, Belo Horizonte, MG."
Cinnamomum_heyneanum,na,na,species,Lauraceae,VU,IND,T,Phan.,WP,Rediscovered,Cinnamomum_heyneanum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://www.iucnredlist.org/details/38781/0
Cinnamomum_travancoricum,na,na,species,Lauraceae,EX,IND,T,Phan.,WP,Extinct,Cinnamomum_travancoricum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Circium_hydrophilum,na,na,species,Asteraceae,VU,CAL,S,Biennial,HP,Rediscovered,Circium_hydrophilum,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",https://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=2133
Cirsium_praeteriens,na,na,species,Asteraceae,EX,CAL,G,Hemicr.,WP,Extinct,Cirsium_praeteriens,"Kartesz, J.T. (1994) A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland",
Cirsium_toyoshimae,na,na,species,Asteraceae,EX,OGA,WT,hemicr.,HP,Extinct,Cirsium_toyoshimae,"Yoshida, A. & Tannawa, T. (1977). Endangered plant species of the Ogasawara islands. Notes of the Waimea Arboretum 3(2): 8-12.",
Claoxylon_grandifolium,na,na,species,Euphorbiaceae,EX,"MAU,REU",WT,phan.,WP,Extinct,Claoxylon_grandifolium,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Clarkia_mosquinii,na,na,species,Onagraceae,CR,CAL,S,Ther.,A,Rediscovered,Clarkia_mosquinii,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Clarkia+mosquinii
Clermontia_multiflora,na,na,species,Campanulaceae,EX,HAW,WT,phan.,WP,Extinct,Clermontia_multiflora,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Clinopodium_palmeri,na,na,species,Lamiaceae,EX,MXI,DT,Cham.,WP,Extinct,Clinopodium_palmeri,"Moran, R. (1996). The flora of Guadalupe island, Mexico. Memoirs of the California Academy of Sciences 19: 1-190.",
Cnidoscolus_fragrans,na,na,species,Euphorbiaceae,EX,CUB,WT,Phan.,WP,Extinct,Cnidoscolus_fragrans,"Borhidi, A. & Muñiz, O. (1983). Catálogo de Plantas Cubanas Amenazadas o Extinguidas: 1-85. Acad. Ci. de Cuba, La Habana.",
Cochlearia_polonica,na,na,species,Brassicaceae,CR,POL,G,Biennial_or_hemicr.,HP,Rediscovered,Cochlearia_polonica,"Ingelg, T., Anderson, R. & Tjernberg, M. (eds.) (1993). Red data book of the Baltic region: 1-95. Upsalla.",http://www3.interscience.wiley.com/cgi-bin/fulltext/117997162/HTMLSTART
Coelogyne_acutilabium,na,na,species,Orchidaceae,EX,MLY?,WT,Pseudobulb_cham.,WP,Extinct,Coelogyne_acutilabium,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Coelogyne_micrantha,na,na,species,,,,,,,Synonym,Coelogyne_clarkei,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Coleanthera_coelophylla,na,na,species,Ericaceae,DD,WAU,S,phan.,WP,Rediscovered,Coleanthera_coelophylla,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2897065
Coleanthera_virgata,na,na,species,Ericaceae,EX,WAU,DT,phan.,WP,Extinct,Coleanthera_virgata,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Comesperma_lanceolatum,na,na,species,Polygalaceae,DD,WAU,DT,nanophan.,WP,Rediscovered,Comesperma_lanceolatum,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2903962
Comesperma_rhadinocarpum,na,na,species,Polygalaceae,DD,WAU,DT,Ther.,A,Rediscovered,Comesperma_rhadinocarpum,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2903941
Commidendrum_rotundifolium,na,na,species,Asteraceae,EW,STH,T,Nanophan._or_phan.,WP,Extinct,Commidendrum_rotundifolium,R.B.G. Kew & Intern. Inst. Environment and Development (1993). Statyus of the endemic flora and preliminary recovery programmes 3: 1-95.,
Commidendrum_spurinum,na,na,species,,,,,,,Synonym,Commidendrum_burchellii,R.B.G. Kew & Intern. Inst. Environment and Development (1993). Statyus of the endemic flora and preliminary recovery programmes 3: 1-95.,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Comocladia_undulata,na,na,species,Anacardiaceae,EX,WIN,WT,Nanophan._or_phan.,WP,Extinct,Comocladia_undulata,"Fiard, J. (1992). Arbres rares et menacés de la Martinique: 1-152. Martinique.",
Condylocarpon_glabrum,na,na,species,Apocynaceae,EX,BZL,MT,cl._cham.,WP,Extinct,Condylocarpon_glabrum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Conophytum_semivestitum,na,na,species,Aizoaceae,EX,CPP,DT,Succ._hemicr._or_cham.,WP,Extinct,Conophytum_semivestitum,"Hilton-Taylor, C. (ed.) (1996). Red data list of Southern African plants: 1-117. National Botanical Institute, Pretoria.",
Consolea_moniliformis,na,na,species,,,,,,,Synonym,Opuntia_panellana,"Hunt, D. (1992). CITES Cactaceae Checklist: 1-190. Royal Botanic Gardens, Kew.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cordylanthus_mollis,na,na,species,Scrophulariaceae,VU,CAL,S,Hemipar._ther.,A,Rediscovered,Cordylanthus_mollis,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=11503
Cordylanthus_palmatus,na,na,species,Scrophulariaceae,CR,CAL,S,Hemipar._ther.,A,Rediscovered,Cordylanthus_palmatus,"Ayensu, E.S. & Defilipps, R.A. (1978). Endangered and Threatened Plants of the United States: 1-403. Smithsonian Institution and WWF-US, Washington DC.",http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=11256
Corycium_vestitum,na,na,species,Orchidaceae,LR,CPP,S,hemicr.,HP,Rediscovered,Corycium_vestitum,"Hall, A.V. & al. (1980). Threatened plants of Southern Africa. Report of the South African Natlional Scientific Programmes 45: 1-244",http://redlist.sanbi.org/species.php?species=2837-36
Cosmos_atrosanguineus,na,na,species,Asteraceae,CR,MXE,DT,Tuber_geophyte,HP,Rediscovered,Cosmos_atrosanguineus,"Fay, M. (1994). Cosmos atrosanguineus a well known but endangered member of the Compositae. Kew Scientist 5: 8.",http://www.transatlanticplantsman.com/transatlantic_plantsman/2017/06/chcoloate-cosmos-atrsangineus-not-extinct.html
Crassula_alcicornis,na,na,species,Crassulaceae,CR,CPP,DT,Succ._cham.,WP,Rediscovered,Crassula_alcicornis,"Hall, A.V. & Veldhuis, H.A. (1985). South African red data book: 1-160. CSIR, Pretoria.",Haseltonia 10 (2004)
Crataegus_flabellata,na,na,species,,,,,,,Synonym,Crataegus_beata,"Argus, G.W. & Pryer, D.J. (1982-1987). Atlas of the rare vascular plants of Ontario 1-4: Botany Division, National Museum of Natural Sciences, Ottawa.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Crataegus_harbisonii,na,na,species,Rosaceae,CR,"ALA,TEN",G,Phan.,WP,Rediscovered,Crataegus_harbisonii,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",Castanea 65: 291 (2000)
Crataegus_intricata,na,na,species,,,,,,,Synonym,Crataegus_foetida,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Crepidiastrum_ameristophyllum,na,na,species,Asteraceae,CR,OGA,T,Nanophan.,WP,Rediscovered,Crepidiastrum_ameristophyllum,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",http://aoki2.si.gunma-u.ac.jp/BotanicalGarden/HTMLs/yuzuriha-wadan.html
Crepidiastrum_grandicollum,na,na,species,Asteraceae,CR,OGA,S,Cham.,WP,Rediscovered,Crepidiastrum_grandicollum,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",http://gnetum.c.u-tokyo.ac.jp/rdl/plants/381
Crinum_mauritianum,na,na,species,Amaryllidaceae,EW,MAU,WT,Bulb_geophyte,HP,Extinct,Crinum_mauritianum,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Crotalaria_ekmanii,na,na,species,,,,,,,Synonym,Crotalaria_urbaniana,"Borhidi, A. & Muñiz, O. (1983). Catálogo de Plantas Cubanas Amenazadas o Extinguidas: 1-85. Acad. Ci. de Cuba, La Habana.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Croton_anisatus,na,na,species,Euphorbiaceae,EX,MDG,MT,phan.,WP,Extinct,Croton_anisatus,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Croton_grangerioides,na,na,species,Euphorbiaceae,VU,MAU,WT,Nanophan.,WP,Rediscovered,Croton_grangerioides,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Berry, P.E., Kainulainen, K. & van Ee, B.W. (2017). A nomenclator of Croton (Euphorbiaceae) in Madagascar, the Comoros archipelago, and the Mascarene islands. PhytoKeys 90: 1-87."
Croton_magneticus,na,na,species,Euphorbiaceae,VU,QLD,T,phan.,WP,Rediscovered,Croton_magneticus,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2892575
Crudia_zeylanica,na,na,species,Fabaceae,EX,SRL,WT,Phan.,WP,Extinct,Crudia_zeylanica,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Cryptantha_aperta,na,na,species,Boraginaceae,EX,COL,G,Hemicr.,WP,Extinct,Cryptantha_aperta,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Cryptantha_virginensis,na,na,species,,,,,,,Synonym,Cryptantha_insolita,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cryptanthus_bivittatus,na,na,species,Bromeliaceae,CR,BZE,T,Hemicr.,WP,Rediscovered,Cryptanthus_bivittatus,"Smith, L.B. & Downs, R.J. (1977-1979). Flora Neotropica, Monograph 14: 1-2142.","Martinelli, G., Magalhães Vieira, C., Gonzalez, M., Leitman, P., Piratininga, A. Ferreira da Costa, A. & Campostrini Forzza, R. (2008). Bromeliaceae da Mata Atlântica Brasileira: lista de espécies, distribuição e conservação Rodriguésia; Revista do Instituto de Biologia Vegetal, Jardim Botânico e Estaçao Biologica do Itatiaya 59: 209-258."
Cryptanthus_bromelioides,na,na,species,,,,,,,Synonym,Cryptanthus_diversifolius,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cryptanthus_lacerdae,na,na,species,Bromeliaceae,EW,cult,WT,Hemicr.,WP,Extinct,Cryptanthus_lacerdae,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Cryptocentrum_lehmannii,na,na,species,,,,,,,Synonym,Campylocentrum_lehmannii,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cupaniopsis_crassivalvis,na,na,species,Sapindaceae,EX,NWC,WT,Phan.,WP,Extinct,Cupaniopsis_crassivalvis,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.",
Cuphea_crudyana,na,na,species,Lythraceae,EX,WIN,WT,Cham.,WP,Extinct,Cuphea_crudyana,"Acevedo-Rodríguez, P. & Strong, M.T. (2012). Catalogue of seed plants of the West Indies Smithsonian Contributions to Botany 98: 1-1192.",
Cuscuta_indecora,var,warneri,var,,,,,,,Synonym,Cuscuta_warneri,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Cyanea_arborea,na,na,species,Campanulaceae,EX,HAW,WT,Nanophan._or_phan.,WP,Extinct,Cyanea_arborea,"CPC (1992). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Cyanea_asplenifolia,na,na,species,Campanulaceae,CR,HAW,WT,Nanophan.,WP,Rediscovered,Cyanea_asplenifolia,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/details/44105/0
Cyanea_comata,na,na,species,Campanulaceae,EX,HAW,WT,Nanophan.,WP,Extinct,Cyanea_comata,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Cyanea_cylindrocalyx,na,na,species,Campanulaceae,EX,HAW,WT,Nanophan.,WP,Extinct,Cyanea_cylindrocalyx,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Cyanea_dolichopoda,na,na,species,Campanulaceae,EX,HAW,WT,Nanophan.,WP,Extinct,Cyanea_dolichopoda,"IUCN (2016). The IUCN Red List of Threatened Species, Version 3.1 [Accessed June, 2016]",
Cyanea_dunbariae,na,na,species,Campanulaceae,CR,HAW,WT,Nanophan.,WP,Rediscovered,Cyanea_dunbariae,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/details/44095/0
Cyanea_eleeleensis,na,na,species,Campanulaceae,EW,HAW,WT,Nanophan.,WP,Extinct,Cyanea_eleeleensis,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
Cyanea_giffardii,na,na,species,Campanulaceae,EX,HAW,WT,Phan.,WP,Extinct,Cyanea_giffardii,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",
