Accepted.binomial,Accepted.sub1,Accepted.sub2,Accepted.Rank,Family,Extinction.Risk,Locality,Climate,Life.form.orig,Life.form.edited,List,Synonym.binomial,Source.Extinct,Source.Rediscovered.or.Synonymised
Agalinis_caddoensis,na,na,species,Scrophulariaceae,EX,LOU,S,Hemipar._ther.,A,Extinct,Agalinis_caddoensis,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.",
Agalinis_caddoensis,na,na,species,,,,,,,Synonym,Agalinis_strictifolia,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Agalinis_nuttallii,na,na,species,Scrophulariaceae,EX,"OKL,ARK",G,Hemipar._ther.,A,Extinct,Agalinis_nuttallii,"Kartesz, J.T. (1994) A synonymized checklist of the vascular flora of the United States, Canada, and Greenland. 2nd edition. 2 vols. Timber Press, Portland",
Agalinis_setacea,na,na,species,,,,,,,Synonym,Agalinis_stenophylla,"CPC (1990). Centre for plant conservation data for North American plants database. CPC, Centre for plant conservation.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Agathosma_cordifolia,na,na,species,Rutaceae,NT,CPP,S,Nanophan.,WP,Rediscovered,Agathosma_cordifolia,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",http://redlist.sanbi.org/species.php?species=3359-43
Agathosma_fraudulenta,na,na,species,Rutaceae,EW,CPP,S,Nanophan.,WP,Extinct,Agathosma_fraudulenta,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Agathosma_gnidiiflora,na,na,species,Rutaceae,EX,CPP,S,Nanophan.,WP,Extinct,Agathosma_gnidiiflora,"Golding, J.S. (ed.)  (2002).  Southern  African  plant  red  data  lists.  Southern  African  Botanical  Diversity  Network  Report  14.  SABONET,  Pretoria",
Agrostis_adamsonii,na,na,species,Poaceae,EN,VIC,S,Hemicr.,WP,Rediscovered,Agrostis_adamsonii,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2901425
Agrostis_limitanea,na,na,species,Poaceae,EN,SOA,S,Hemicr.,WP,Rediscovered,Agrostis_limitanea,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2906440
Alkanna_sartoriana,na,na,species,Boraginaceae,CR,GRC,S,Hemicr.,WP,Rediscovered,Alkanna_sartoriana,"Vassiliades, D. (1996). Alkanna sartoriana (Boraginaceae) an endangered species. Botanika Chronika. Patras 12: 71.",http://greekflora.gr/el/flowers/3385/Alkanna-sartoriana
Alkanna_viscidula,na,na,species,Boraginaceae,EX,TUR,G,Hemicr.,WP,Extinct,Alkanna_viscidula,"Vassiliades, D. (1996). Alkanna sartoriana (Boraginaceae) an endangered species. Botanika Chronika. Patras 12: 71.",
Allium_altaicum,na,na,species,,,,,,,Synonym,Allium_microbulbum,"Borodin, A.M. & al. (1985). Krasnaya kniga SSSR: redkie i nakhodyashchiesya pod ugrozoi ischeznoveniya vidy zhivotnykh i rastenii. - izdanie vtoroe [2]: tom pervyi - vtoroi [1-2].. Lesnaya Promyshlennost, Moscow.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Allium_chitralicum,na,na,species,,,,,,,Synonym,Allium_pauli,"Borodin, A.M. & al. (1985). Krasnaya kniga SSSR: redkie i nakhodyashchiesya pod ugrozoi ischeznoveniya vidy zhivotnykh i rastenii. - izdanie vtoroe [2]: tom pervyi - vtoroi [1-2].. Lesnaya Promyshlennost, Moscow.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Allium_rouyi,na,na,species,Amaryllidaceae,CR,SPA,G,Bulb_geophyte,HP,Rediscovered,Allium_rouyi,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Rico, E. & al. (eds.) (2013). Flora Iberica 20: 1-651. Real Jardín Botánico, CSIC, Madrid."
Allium_sergii,na,na,species,Amaryllidaceae,CR,KAZ,G,Bulb_geophyte,HP,Rediscovered,Allium_sergii,"Borodin, A.M. & al. (1985). Krasnaya kniga SSSR: redkie i nakhodyashchiesya pod ugrozoi ischeznoveniya vidy zhivotnykh i rastenii. - izdanie vtoroe [2]: tom pervyi - vtoroi [1-2].. Lesnaya Promyshlennost, Moscow.",https://books.google.co.uk/books?id=N_rtCAAAQBAJ&pg=PA98&lpg=PA98&dq=Allium+sergii&source=bl&ots=ZRfZrbfAdP&sig=5erG9k-HrSL08vpOqT7gmdb6a2U&hl=en&sa=X&ved=0ahUKEwjC99a5y8vbAhVGPsAKHTXHCN0Q6AEIZzAN#v=onepage&q=Allium%20sergii&f=false
Almeidea_longifolia,na,na,species,Rutaceae,EX,BZL,MT,Phan.,WP,Extinct,Almeidea_longifolia,"Govaerts, R. (1995). World Checklist of Seed Plants 1(1, 2): 1-483, 529. MIM, Deurne.",
Aloe_oligophylla,na,na,species,Xanthorrhoeaceae,EX,MDG,MT,Succ._cham.,WP,Extinct,Aloe_oligophylla,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/",
Alsinidendron_viscosum,na,na,species,Caryophyllaceae,CR,HAW,WT,(Cl.)_cham.,WP,Rediscovered,Alsinidendron_viscosum,"Wagner, W., Herbst, D. & Sohmer, S. (1990). Manual of the Flowering Plants of Hawai'I 1-2: 1-1853. University of Hawaii Press.",http://www.iucnredlist.org/details/44111/0
Alsinidendron_viscosum,na,na,species,,,,,,,Synonym,Schiedea_viscosa,,"POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Amaranthus_caudatus,na,na,species,,,,,,,Synonym,Amaranthus_mantegazzianus,"W.C.M.C. (1996). Threatened plant database of the World Conservation Monitoring Centre. W.C.M.C., Cambridge, U.K.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Amperea_protensa,na,na,species,Euphorbiaceae,CR,WAU,DT,Chamaephyte,WP,Rediscovered,Amperea_protensa,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2905770
Amphibromus_whitei,na,na,species,Poaceae,EX,QLD,T,Hemicr.,WP,Extinct,Amphibromus_whitei,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",
Amphibromus_whitei,na,na,species,,,,,,,Synonym,Helictotrichon_whitei,"Briggs, J.D. & Leigh, J.H. (1995). Rare or threatened Australian plants , rev. ed.: 1-466.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Amphitecna_macrophylla,na,na,species,Bignoniaceae,VU,"MXG,MXS,MXT,GUA",WT,Phan.,WP,Rediscovered,Amphitecna_macrophylla,"WCSP (2003). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp/","Garcia-Mendoza, A.J. & Meave, J.A. (eds.) (2012). Diversidad florística de Oaxaca: de musgos a angiospermas (colecciones y listas de especies) , ed. 2: 1-351. Instituto de Biología, Universidad Nacional Autónoma de México."
Amyris_cubensis,na,na,species,Rutaceae,EX,CUB,WT,Nanophan.,WP,Extinct,Amyris_cubensis,"Borhidi, A. & Muñiz, O. (1983). Catálogo de Plantas Cubanas Amenazadas o Extinguidas: 1-85. Acad. Ci. de Cuba, La Habana.",
Andersonia_bifida,na,na,species,Ericaceae,CR,WAU,DT,Nanophan._or_phan.,WP,Rediscovered,Andersonia_bifida,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2919677
Andersonia_longifolia,na,na,species,Ericaceae,CR,WAU,S,Nanophan._or_phan.,WP,Rediscovered,Andersonia_longifolia,"Hnatiuk, R.J. (1990). Census of Australian vascular plants. Australian Flora and Fauna Series 11: 1-650.",https://bie.ala.org.au/species/http://id.biodiversity.org.au/node/apni/2888798
Angostura_ossana,na,na,species,Rutaceae,EX,CUB,WT,Phan.,WP,Extinct,Angostura_ossana,"Borhidi, A. & Muñiz, O. (1983). Catálogo de Plantas Cubanas Amenazadas o Extinguidas: 1-85. Acad. Ci. de Cuba, La Habana.",
Angraecum_calceolus,na,na,species,,,,,,,Synonym,Angraecum_carpophorum,"Bosser, J. & al. (eds.) (1976-). Flore des Mascareignes. IRD Éditions, MSIRI, RBG-Kew, Paris.","POWO. 2018. Plants of the World online. Facilitated by the Royal Botanic Gardens, Kew. http://e-monocot.org/."
Angraecum_obversifolium,na,na,species,Orchidaceae,CR,"MAU,REU",WT,Epiphytic_cham.,E,Rediscovered,Angraecum_obversifolium,"Bosser, J. & al. (eds.) (1976-). Flore des Mascareignes. IRD Éditions, MSIRI, RBG-Kew, Paris.","Bernet, P. (2010). Orchidées de la Réunion: 1-368. Naturae Amici éditions."
