species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,Genus,family,Original_Year,Growth_Habit
Asystasia alba Ridl.,Asystasia alba,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Asystasia,Acanthaceae,1906,herb
Dicladanthera glabra R.M.Barker,Dicladanthera glabra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicladanthera,Acanthaceae,1986,herb
Dicliptera australis (Nees) R.M.Barker,Dicliptera australis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1847,herb
Dicliptera maclearii Hemsl.,Dicliptera maclearii,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1890,herb
Dicliptera miscella R.M.Barker,Dicliptera miscella,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1986,herb
Dicliptera spicata Decne.,Dicliptera spicata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dicliptera,Acanthaceae,1834,herb
Dipteracanthus bracteatus (R.Br.) Nees,Dipteracanthus bracteatus,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dipteracanthus,Acanthaceae,1810,herb
Dipteracanthus chichesterensis Trudgen & P.-L.de Kock,Dipteracanthus chichesterensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dipteracanthus,Acanthaceae,2015,shrub
Hypoestes sparsiflora R.M.Barker,Hypoestes sparsiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hypoestes,Acanthaceae,1986,herb
Lepidagathis royenii Bremek.,Lepidagathis royenii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lepidagathis,Acanthaceae,1957,herb
Baileyoxylon lanceolatum C.T.White,Baileyoxylon lanceolatum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Baileyoxylon,Achariaceae,1941,tree
Gunniopsis calva Chinnock,Gunniopsis calva,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis divisa Chinnock,Gunniopsis divisa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis propinqua Chinnock,Gunniopsis propinqua,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,herb
Gunniopsis tenuifolia Chinnock,Gunniopsis tenuifolia,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gunniopsis,Aizoaceae,1983,shrub
Tetragonia coronata Rye & Trudgen,Tetragonia coronata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Tetragonia,Aizoaceae,1996,herb
Tetragonia diptera F.Muell.,Tetragonia diptera,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Tetragonia,Aizoaceae,1878,herb
Trianthema compactum C.T.White,Trianthema compactum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1919,herb
Trianthema cypseleoides (Fenzl) Benth.,Trianthema cypseleoides,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1839,herb
Trianthema kimberleyi Bittrich & K.M.Jenssen,Trianthema kimberleyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Trianthema,Aizoaceae,1990,herb
Caldesia parnassifolia (Bassi ex L.) Parl.,Caldesia parnassifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Caldesia,Alismataceae,1767,aquatic_herbs_and_ferns
Achyranthes bidentata Blume,Achyranthes bidentata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Achyranthes,Amaranthaceae,1826,herb
Alternanthera nahui Heenan & de Lange,Alternanthera nahui,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,Alternanthera,Amaranthaceae,2009,herb
Gomphrena arida J.Palmer,Gomphrena arida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena atrorubra J.Palmer,Gomphrena atrorubra,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena conferta Benth.,Gomphrena conferta,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1870,herb
Gomphrena conica (R.Br.) Spreng.,Gomphrena conica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1810,herb
Gomphrena eichleri J.Palmer,Gomphrena eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena humifusa J.Palmer,Gomphrena humifusa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena involucrata Ewart,Gomphrena involucrata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1913,herb
Gomphrena leontopodioides Domin,Gomphrena leontopodioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1921,herb
Gomphrena leptophylla (Benth.) J.Palmer,Gomphrena leptophylla,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1870,herb
Gomphrena rosula J.Palmer,Gomphrena rosula,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1998,herb
Gomphrena splendida R.L.Barrett & J.Palmer,Gomphrena splendida,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,2015,herb
Gomphrena tenella (Moq.) Benth.,Gomphrena tenella,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Gomphrena,Amaranthaceae,1849,herb
Kelita uncinella A.R.Bean,Kelita uncinella,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Kelita,Amaranthaceae,2010,herb
Nyssanthes longistyla C.H.Mill.,Nyssanthes longistyla,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Nyssanthes,Amaranthaceae,2011,herb
Omegandra kanisii G.J.Leach & C.C.Towns.,Omegandra kanisii,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Omegandra,Amaranthaceae,1993,herb
Ptilotus actinocladus T.Hammer & R.W.Davis,Ptilotus actinocladus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2018,herb
Ptilotus alexandri Benl,Ptilotus alexandri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1974,herb
Ptilotus andersonii R.W.Davis,Ptilotus andersonii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2015,herb
Ptilotus brachyanthus (F.Muell. ex Benth.) F.Muell.,Ptilotus brachyanthus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1870,herb
Ptilotus comatus Benl,Ptilotus comatus,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1984,herb
Ptilotus crispus Benl,Ptilotus crispus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1988,herb
Ptilotus decalvatus Benl,Ptilotus decalvatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1979,herb
Ptilotus disparilis Lally,Ptilotus disparilis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2008,shrub
Ptilotus extenuatus Benl,Ptilotus extenuatus,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1981,herb
Ptilotus falcatus R.W.Davis & T.Hammer,Ptilotus falcatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2014,herb
Ptilotus lazaridis Benl,Ptilotus lazaridis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1961,shrub
Ptilotus lophotrichus Benl,Ptilotus lophotrichus,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1964,herb
Ptilotus procumbens Benl,Ptilotus procumbens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1983,herb
Ptilotus propinquus Lally,Ptilotus propinquus,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2008,shrub
Ptilotus robynsianus Benl,Ptilotus robynsianus,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1957,shrub
Ptilotus rotundatus Benl,Ptilotus rotundatus,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1984,herb
Ptilotus tetrandrus Benl,Ptilotus tetrandrus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1978,herb
Ptilotus unguiculatus T.Hammer,Ptilotus unguiculatus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2018,herb
Ptilotus wilsonii Benl,Ptilotus wilsonii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,1975,shrub
Ptilotus yapukaratja R.W.Davis & T.Hammer,Ptilotus yapukaratja,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Ptilotus,Amaranthaceae,2018,shrub
Crinum joesmithii M.D.Barrett & R.L.Barrett,Crinum joesmithii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2015,herb
Crinum kakaduense Lehmiller & Lykos,Crinum kakaduense,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2013,herb
"Crinum lakefieldense Lehmiller, Lykos & R.Ham.",Crinum lakefieldense,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2013,herb
Crinum luteolum Traub & L.S.Hannibal ex Traub,Crinum luteolum,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,1965,herb
Crinum muelleri Lehmiller & Lykos,Crinum muelleri,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2013,herb
Crinum roperense Lehmiller & Lykos,Crinum roperense,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2010,herb
Crinum venosum R.Br.,Crinum venosum,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,1810,herb
"Crinum yorkense Lehmiller, Lykos & R.Ham.",Crinum yorkense,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Crinum,Amaryllidaceae,2013,herb
Proiphys kimberleyensis M.D.Barrett & R.L.Barrett,Proiphys kimberleyensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Proiphys,Amaryllidaceae,2015,herb
Spondias dulcis Parkinson,Spondias dulcis,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Spondias,Anacardiaceae,1773,tree
Lyginia excelsa B.G.Briggs & L.A.S.Johnson,Lyginia excelsa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lyginia,Anarthriaceae,2000,herb
"Uvaria rupestre (Jessup) L.L.Zhou, Y.C.F.Zu & R.M.K.Saunders",Uvaria rupestre,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Uvaria,Annonaceae,2007,shrub
Actinotus repens Keighery ex Henwood,Actinotus repens,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Actinotus,Apiaceae,2013,herb
Azorella selago Hook.f.,Azorella selago,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,native,not present,not present,not present,not present,Azorella,Apiaceae,1845,herb
Centella uniflora (Colenso) Nannf.,Centella uniflora,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Centella,Apiaceae,1885,herb
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Eryngium,Apiaceae,1995,herb
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Oreomyrrhis,Apiaceae,1955,herb
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Platysace,Apiaceae,1892,shrub
Xanthosia collina Keighery,Xanthosia collina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xanthosia,Apiaceae,1983,herb
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xanthosia,Apiaceae,1998,shrub
Xanthosia peduncularis Benth.,Xanthosia peduncularis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Xanthosia,Apiaceae,1867,herb
Alyxia evansii D.J.Middleton,Alyxia evansii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Alyxia,Apocynaceae,2002,shrub
Cynanchum brachystelmoides P.I.Forst.,Cynanchum brachystelmoides,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cynanchum,Apocynaceae,1988,herb
Cynanchum christineae P.I.Forst.,Cynanchum christineae,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cynanchum,Apocynaceae,1989,herb
Cynanchum puberulum F.Muell. ex Benth.,Cynanchum puberulum,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cynanchum,Apocynaceae,1868,woody_climber
Dischidia litoralis Schltr.,Dischidia litoralis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Dischidia,Apocynaceae,1905,climber
Heterostemma magnificum P.I.Forst.,Heterostemma magnificum,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Heterostemma,Apocynaceae,1992,woody_climber
Marsdenia glandulifera C.T.White,Marsdenia glandulifera,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1945,woody_climber
Marsdenia graniticola P.I.Forst.,Marsdenia graniticola,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1995,shrub
Marsdenia jensenii P.I.Forst.,Marsdenia jensenii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1997,woody_climber
Marsdenia muelleri (Benth.) P.I.Forst.,Marsdenia muelleri,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1868,woody_climber
Marsdenia paludicola P.I.Forst.,Marsdenia paludicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1995,woody_climber
Marsdenia pumila P.I.Forst.,Marsdenia pumila,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1995,climber
Marsdenia rara P.I.Forst.,Marsdenia rara,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1995,climber
Marsdenia suborbicularis (K.Schum.) P.I.Forst.,Marsdenia suborbicularis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1905,woody_climber
Marsdenia tricholepis (Schltr.) P.I.Forst.,Marsdenia tricholepis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1908,woody_climber
Marsdenia tubulosa F.Muell.,Marsdenia tubulosa,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Marsdenia,Apocynaceae,1875,unknown
Neisosperma oppositifolium (Lam.) Fosberg & Sachet,Neisosperma oppositifolium,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,Neisosperma,Apocynaceae,1783,tree
Parsonsia alboflavescens (Dennst.) Mabb.,Parsonsia alboflavescens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Parsonsia,Apocynaceae,1818,woody_climber
Parsonsia dorrigoensis J.B.Williams,Parsonsia dorrigoensis,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Parsonsia,Apocynaceae,1996,woody_climber
Parsonsia kimberleyensis J.B.Williams,Parsonsia kimberleyensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Parsonsia,Apocynaceae,1996,woody_climber
Sarcolobus ritae P.I.Forst.,Sarcolobus ritae,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Sarcolobus,Apocynaceae,1991,woody_climber
Secamone auriculata Blume,Secamone auriculata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Secamone,Apocynaceae,1826,woody_climber
Secamone lineata Blume,Secamone lineata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Secamone,Apocynaceae,1826,woody_climber
Vincetoxicum cinerascens (R.Br.) Meve & Liede,Vincetoxicum cinerascens,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vincetoxicum,Apocynaceae,1810,climber
Vincetoxicum rupicola (P.I.Forst.) Meve & Liede,Vincetoxicum rupicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Vincetoxicum,Apocynaceae,1992,climber
Pilostyles collina Dell,Pilostyles collina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Pilostyles,Apodanthaceae,1983,herb
Aponogeton cuneatus S.W.L.Jacobs,Aponogeton cuneatus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Aponogeton,Aponogetonaceae,2006,aquatic_herbs_and_ferns
Aponogeton euryspermus Hellq. & S.W.L.Jacobs,Aponogeton euryspermus,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Aponogeton,Aponogetonaceae,1998,aquatic_herbs_and_ferns
Aponogeton kimberleyensis Hellq. & S.W.L.Jacobs,Aponogeton kimberleyensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Aponogeton,Aponogetonaceae,1998,aquatic_herbs_and_ferns
Aponogeton prolifer Hellq. & S.W.L.Jacobs,Aponogeton prolifer,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Aponogeton,Aponogetonaceae,1998,aquatic_herbs_and_ferns
Aponogeton tofus S.W.L.Jacobs,Aponogeton tofus,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Aponogeton,Aponogetonaceae,2006,aquatic_herbs_and_ferns
Lemna tenera Kurz,Lemna tenera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lemna,Araceae,1871,aquatic_herbs_and_ferns
Typhonium nudibaccatum A.Hay,Typhonium nudibaccatum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Typhonium,Araceae,1993,herb
Typhonium weipanum A.Hay,Typhonium weipanum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Typhonium,Araceae,1993,herb
Wolffia globosa (Roxb.) Hartog & Plas,Wolffia globosa,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Wolffia,Araceae,1832,aquatic_herbs_and_ferns
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Astrotricha,Araliaceae,1997,shrub
Astrotricha obovata Makinson,Astrotricha obovata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Astrotricha,Araliaceae,1991,shrub
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Astrotricha,Araliaceae,1995,shrub
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,not present,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,1887,herb
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,1885,herb
Hydrocotyle decorata A.J.Perkins,Hydrocotyle decorata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2018,herb
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2003,herb
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2003,herb
Hydrocotyle eichleri A.J.Perkins,Hydrocotyle eichleri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2018,herb
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,1849,herb
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2003,herb
Hydrocotyle perforata A.J.Perkins,Hydrocotyle perforata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2018,herb
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,1820,herb
Hydrocotyle serendipita A.J.Perkins,Hydrocotyle serendipita,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2017,herb
Hydrocotyle tuberculata A.J.Perkins,Hydrocotyle tuberculata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Hydrocotyle,Araliaceae,2018,herb
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Polyscias,Araliaceae,1768,shrub
